ARISINFRA,Arisinfra Solutions Limited,25-Jun-25,INE0H9P01028
ARKADE,Arkade Developers Limited,24-Sep-24,INE0QRL01017
ARMANFIN,Arman Financial Services Limited,14-Jun-16,INE109C01017
AROGRANITE,Aro Granite Industries Limited,24-Apr-07,INE210C01013
ARROWGREEN,Arrow Greentech Limited,21-May-15,INE570D01018
ARSHIYA,Arshiya Limited,14-Dec-09,INE968D01022
ARSSBL,Anand Rathi Share and Stock Brokers Limited,30-Sep-25,INE549H01021
ARTEMISMED,Artemis Medicare Services Limited,23-Jan-20,INE025R01021
ARTNIRMAN,Art Nirman Limited,18-Oct-21,INE738V01013
ARVEE,Arvee Laboratories (India) Limited,22-Mar-21,INE006Z01016
ARVIND,Arvind Limited,08-Feb-95,INE034A01011
ARVINDFASN,Arvind Fashions Limited,08-Mar-19,INE955V01021
ARVSMART,Arvind SmartSpaces Limited,26-Aug-15,INE034S01021
ASAHIINDIA,Asahi India Glass Limited,18-Mar-98,INE439A01020
ASAHISONG,Asahi Songwon Colors Limited,29-Aug-11,INE228I01012
ASAL,Automotive Stampings and Assemblies Limited,12-Mar-02,INE900C01027
ASALCBR,Associated Alcohols & Breweries Ltd.,12-Feb-20,INE073G01016
ASHAPURMIN,Ashapura Minechem Limited,20-Sep-95,INE348A01023
ASHIANA,Ashiana Housing Limited,29-Jun-11,INE365D01021
ASHIMASYN,Ashima Limited,27-Jul-95,INE440A01010
ASHOKA,Ashoka Buildcon Limited,14-Oct-10,INE442H01029
ASHOKAMET,Ashoka Metcast Limited,27-Jun-23,INE760Y01011
ASHOKLEY,Ashok Leyland Limited,25-May-95,INE208A01029
ASIANENE,Asian Energy Services Limited,09-Dec-21,INE276G01015
ASIANHOTNR,Asian Hotels (North) Limited,07-Apr-10,INE363A01022
ASIANPAINT,Asian Paints Limited,31-May-95,INE021A01026
ASIANTILES,Asian Granito India Limited,23-Aug-07,INE022I01019
ASKAUTOLTD,ASK Automotive Limited,15-Nov-23,INE491J01022
ASMS,Bartronics India Limited,09-Feb-23,INE855F01042
ASPINWALL,Aspinwall and Company Limited,14-Jun-16,INE991I01015
ASTEC,Astec LifeSciences Limited,25-Nov-09,INE563J01010
ASTERDM,Aster DM Healthcare Limited,26-Feb-18,INE914M01019
ASTRAL,Astral Limited,20-Mar-07,INE006I01046
ASTRAMICRO,Astra Microwave Products Limited,01-Nov-04,INE386C01029
ASTRAZEN,AstraZeneca Pharma India Limited,04-May-01,INE203A01020
ASTRON,Astron Paper & Board Mill Limited,29-Dec-17,INE646X01014
ATALREAL,Atal Realtech Limited,12-May-23,INE0ALR01029
ATAM,Atam Valves Limited,10-May-23,INE09KD01013
ATGL,Adani Total Gas Limited,05-Nov-18,INE399L01023
ATHERENERG,Ather Energy Limited,06-May-25,INE0LEZ01016
ATL,Allcargo Terminals Limited,10-Aug-23,INE0NN701020
ATLANTAA,ATLANTAA LIMITED,25-Sep-06,INE285H01022
ATLANTAELE,Atlanta Electricals Limited,29-Sep-25,INE0Z4F01028
ATLASCYCLE,Atlas Cycles (Haryana) Limited,23-Oct-96,INE446A01025
ATUL,Atul Limited,06-May-98,INE100A01010
ATULAUTO,Atul Auto Limited,26-Jun-13,INE951D01028
AUBANK,AU Small Finance Bank Limited,10-Jul-17,INE949L01017
AURIGROW,Auri Grow India Limited,24-Dec-20,INE925Y01036
AURIONPRO,Aurionpro Solutions Limited,25-Oct-05,INE132H01018
AUROPHARMA,Aurobindo Pharma Limited,19-Jul-00,INE406A01037
AURUM,Aurum PropTech Limited,19-Aug-15,INE898S01029
AUSOMENT,Ausom Enterprise Limited,17-Apr-96,INE218C01016
AUTOAXLES,Automotive Axles Limited,29-May-03,INE449A01011
AUTOIND,Autoline Industries Limited,31-Jan-07,INE718H01014
AVADHSUGAR,Avadh Sugar & Energy Limited,28-Jul-17,INE349W01017
AVALON,Avalon Technologies Limited,18-Apr-23,INE0LCL01028
AVANTEL,Avantel Limited,31-Jul-24,INE005B01027
AVANTIFEED,Avanti Feeds Limited,15-Apr-15,INE871C01038
AVG,AVG Logistics Limited,12-May-23,INE680Z01018
AVL,Aditya Vision Limited,06-Nov-24,INE679V01027
AVONMORE,Avonmore Capital & Management Services Limited,04-Jan-23,INE323B01024
AVROIND,AVRO INDIA LIMITED,07-Apr-22,INE652Z01017
AVTNPL,AVT Natural Products Limited,10-Jan-07,INE488D01021
AWFIS,Awfis Space Solutions Limited,30-May-24,INE108V01019
AWHCL,Antony Waste Handling Cell Limited,01-Jan-21,INE01BK01022
AWL,AWL Agri Business Limited,08-Feb-22,INE699H01024
AXISBANK,Axis Bank Limited,16-Nov-98,INE238A01034
AXISCADES,AXISCADES Technologies Limited,21-Dec-00,INE555B01013
AXITA,Axita Cotton Limited,21-Jun-22,INE02EZ01022
AYMSYNTEX,AYM Syntex Limited,14-Aug-15,INE193B01039
AZAD,Azad Engineering Limited,28-Dec-23,INE02IJ01035
BAFNAPH,Bafna Pharmaceuticals Limited,27-Feb-20,INE878I01022
BAGFILMS,B.A.G Films and Media Limited,17-Oct-03,INE116D01028
BAIDFIN,Baid Finserv Limited,20-Jan-23,INE020D01022
BAJAJ-AUTO,Bajaj Auto Limited,26-May-08,INE917I01010
BAJAJCON,Bajaj Consumer Care Limited,18-Aug-10,INE933K01021
BAJAJELEC,Bajaj Electricals Limited,02-Nov-07,INE193E01025
BAJAJFINSV,Bajaj Finserv Limited,26-May-08,INE918I01026
BAJAJHCARE,Bajaj Healthcare Limited,25-Nov-21,INE411U01027
BAJAJHFL,Bajaj Housing Finance Limited,16-Sep-24,INE377Y01014
BAJAJHIND,Bajaj Hindusthan Sugar Limited,10-May-95,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Limited,15-Mar-95,INE118A01012
BAJAJINDEF,Indef Manufacturing Limited,21-Feb-25,INE0O9T01021
BAJEL,Bajel Projects Limited,19-Dec-23,INE0KQN01018
BAJFINANCE,Bajaj Finance Limited,01-Apr-03,INE296A01032
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,12-Sep-24,INE0S2G01011
BALAJITELE,Balaji Telefilms Limited,22-Nov-00,INE794B01026
BALAMINES,Balaji Amines Limited,05-Apr-07,INE050E01027
BALAXI,BALAXI PHARMACEUTICALS LIMITED,30-Nov-15,INE618N01022
BALKRISHNA,Balkrishna Paper Mills Limited,28-Jul-15,INE875R01011
BALKRISIND,Balkrishna Industries Limited,27-Jan-06,INE787D01026
BALMLAWRIE,Balmer Lawrie & Company Limited,06-Jul-95,INE164A01016
BALPHARMA,Bal Pharma Limited,08-May-06,INE083D01012
BALRAMCHIN,Balrampur Chini Mills Limited,08-Feb-95,INE119A01028
BALUFORGE,Balu Forge Industries Limited,29-Apr-24,INE011E01029
BANARBEADS,Banaras Beads Limited,07-Jul-95,INE655B01011
BANARISUG,Bannari Amman Sugars Limited,28-May-03,INE459A01010
BANCOINDIA,Banco Products (I) Limited,22-Dec-06,INE213C01025
BANDHANBNK,Bandhan Bank Limited,27-Mar-18,INE545U01014
BANG,Bang Overseas Limited,20-Feb-08,INE863I01016
BANKA,Banka BioLoo Limited,29-Oct-20,INE862Y01015
BANKBARODA,Bank of Baroda,19-Feb-97,INE028A01039
BANKINDIA,Bank of India,30-Apr-97,INE084A01016
BANSALWIRE,Bansal Wire Industries Limited,10-Jul-24,INE0B9K01025
BANSWRAS,Banswara Syntex Limited,11-Apr-07,INE629D01020
BASF,BASF India Limited,17-May-95,INE373A01013
BASML,Bannari Amman Spinning Mills Limited,14-Nov-05,INE186H01022
BATAINDIA,Bata India Limited,18-Jun-03,INE176A01028
BAYERCROP,Bayer Cropscience Limited,08-Jan-10,INE462A01022
BBL,Bharat Bijlee Limited,21-Nov-06,INE464A01036
BBOX,Black Box Limited,22-Jul-03,INE676A01027
BBTC,Bombay Burmah Trading Corporation Limited,03-Apr-96,INE050A01025
BBTCL,B&B Triplewall Containers Limited,23-Nov-22,INE01EE01011
BCG,Brightcom Group Limited,08-May-15,INE425B01027
BCLIND,Bcl Industries Limited,04-Mar-21,INE412G01024
BCONCEPTS,Brand Concepts Limited,11-Jan-22,INE977Y01011
BDL,Bharat Dynamics Limited,23-Mar-18,INE171Z01026
BEARDSELL,Beardsell Limited,13-Jan-15,INE520H01022
BECTORFOOD,Mrs. Bectors Food Specialities Limited,24-Dec-20,INE495P01020
BEDMUTHA,Bedmutha Industries Limited,14-Oct-10,INE844K01012
BEL,Bharat Electronics Limited,19-Jul-00,INE263A01024
BELLACASA,Bella Casa Fashion & Retail Limited,18-Jul-25,INE344T01014
BELRISE,Belrise Industries Limited,28-May-25,INE894V01022
BEML,BEML Limited,05-Nov-03,INE258A01024
BEPL,Bhansali Engineering Polymers Limited,21-Mar-05,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,24-Nov-99,INE463A01038
BESTAGRO,Best Agrolife Limited,10-Apr-24,INE052T01013
BETA,Beta Drugs Limited,24-Nov-25,INE351Y01019
BFINVEST,BF Investment Limited,14-Jan-11,INE878K01010
BFUTILITIE,BF Utilities Limited,03-May-07,INE243D01012
BGLOBAL,Bharatiya Global Infomedia Limited,28-Jul-11,INE224M01013
BGRENERGY,BGR Energy Systems Limited,03-Jan-08,INE661I01014
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,18-Oct-21,INE414D01027
BHAGERIA,Bhageria Industries Limited,02-Mar-16,INE354C01027
BHAGYANGR,Bhagyanagar India Limited,17-May-17,INE458B01036
BHANDARI,Bhandari Hosiery Exports Limited,30-Jan-17,INE474E01029
BHARATFORG,Bharat Forge Limited,04-Apr-03,INE465A01025
BHARATGEAR,Bharat Gears Limited,03-Apr-96,INE561C01019
BHARATRAS,Bharat Rasayan Limited,11-Oct-95,INE838B01021
BHARATSE,Bharat Seats Limited,24-Mar-25,INE415D01024
BHARATWIRE,Bharat Wire Ropes Limited,01-Apr-16,INE316L01019
BHARTIARTL,Bharti Airtel Limited,15-Feb-02,INE397D01024
BHARTIHEXA,Bharti Hexacom Limited,12-Apr-24,INE343G01021
BHEL,Bharat Heavy Electricals Limited,11-Nov-03,INE257A01026
BIGBLOC,Bigbloc Construction Limited,02-Sep-16,INE412U01025
BIKAJI,Bikaji Foods International Limited,16-Nov-22,INE00E101023
BIL,Bhartiya International Limited,12-Apr-00,INE828A01016
BILVYAPAR,BIL VYAPAR LIMITED,27-Sep-06,INE071A01013
BIOCON,Biocon Limited,07-Apr-04,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,12-Jun-96,INE829A01014
BIRLACABLE,Birla Cable Limited,06-Dec-95,INE800A01015
BIRLACORPN,Birla Corporation Limited,12-Apr-95,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,07-Feb-08,INE865C01022
BIRLANU,BirlaNu Limited,26-Apr-95,INE557A01011
BLACKBUCK,BLACKBUCK LIMITED,22-Nov-24,INE0UIZ01018
BLAL,BEML Land Assets Limited,19-Apr-23,INE0N7W01012
BLBLIMITED,BLB Limited,31-May-00,INE791A01024
BLISSGVS,Bliss GVS Pharma Limited,26-Jul-10,INE416D01022
BLKASHYAP,B. L. Kashyap and Sons Limited,17-Mar-06,INE350H01032
BLS,BLS International Services Limited,14-Jun-16,INE153T01027
BLSE,BLS E-Services Limited,06-Feb-24,INE0NLT01010
BLUECHIP,Blue Chip India Limited,12-Mar-97,INE657B01025
BLUECOAST,Blue Coast Hotels Limited,16-Feb-00,INE472B01011
BLUEDART,Blue Dart Express Limited,12-Dec-02,INE233B01017
BLUEJET,Blue Jet Healthcare Limited,01-Nov-23,INE0KBH01020
BLUESTARCO,Blue Star Limited,15-Jun-00,INE472A01039
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,19-Aug-25,INE304W01038
BLUSPRING,Bluspring Enterprises Limited,11-Jun-25,INE0U4101014
BMWVENTLTD,BMW Ventures Limited,01-Oct-25,INE965W01036
BODALCHEM,Bodal Chemicals Limited,22-Aug-11,INE338D01028
BOHRAIND,Bohra Industries Limited,27-Oct-22,INE802W01023
BOMDYEING,Bombay Dyeing & Mfg Company Limited,26-Apr-95,INE032A01023
BORANA,Borana Weaves Limited,27-May-25,INE16SF01016
BOROLTD,Borosil Limited,22-Jul-20,INE02PY01013
BORORENEW,BOROSIL RENEWABLES LIMITED,25-May-18,INE666D01022
BOROSCI,Borosil Scientific Limited,07-Jun-24,INE02L001032
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,03-Jan-00,INE782A01015
BOSCHLTD,Bosch Limited,12-May-03,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,13-Sep-95,INE029A01011
BPL,BPL Limited,14-Jun-95,INE110A01019
BRIGADE,Brigade Enterprises Limited,31-Dec-07,INE791I01019
BRIGHOTEL,Brigade Hotel Ventures Limited,31-Jul-25,INE03NU01014
BRITANNIA,Britannia Industries Limited,05-Nov-98,INE216A01030
BRNL,Bharat Road Network Limited,18-Sep-17,INE727S01012
BROOKS,Brooks Laboratories Limited,05-Sep-11,INE650L01011
BSE,BSE Limited,03-Feb-17,INE118H01025
BSHSL,Bombay Super Hybrid Seeds Limited,28-Oct-20,INE032Z01020
BSL,BSL Limited,27-Jul-95,INE594B01012
BSOFT,BIRLASOFT LIMITED,24-Nov-99,INE836A01035
BTML,Bodhi Tree Multimedia Limited,15-Feb-23,INE0EEJ01023
BUILDPRO,Shankara Buildpro Limited,09-Jan-26,INE24OJ01011
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,28-Apr-14,INE295F01017
BVCL,Barak Valley Cements Limited,23-Nov-07,INE139I01011
BYKE,The Byke Hospitality Ltd,15-Apr-15,INE319B01014
CALSOFT,California Software Company Limited,28-Jun-00,INE526B01014
CAMLINFINE,Camlin Fine Sciences Limited,20-Jan-15,INE052I01032
CAMPUS,Campus Activewear Limited,09-May-22,INE278Y01022
CAMS,Computer Age Management Services Limited,07-May-21,INE596I01020
CANBK,Canara Bank,23-Dec-02,INE476A01022
CANFINHOME,Can Fin Homes Limited,10-May-95,INE477A01020
CANHLIFE,Canara HSBC Life Insurance Company Limited,17-Oct-25,INE01TY01017
CANTABIL,Cantabil Retail India Limited,12-Oct-10,INE068L01024
CAPACITE,Capacit'e Infraprojects Limited,25-Sep-17,INE264T01014
CAPILLARY,Capillary Technologies India Limited,21-Nov-25,INE0ILV01024
CAPITALSFB,Capital Small Finance Bank Limited,14-Feb-24,INE646H01017
CAPLIPOINT,Caplin Point Laboratories Limited,23-Jun-14,INE475E01026
CAPTRUST,Capital Trust Limited,16-Jan-17,INE707C01018
CARBORUNIV,Carborundum Universal Limited,03-Apr-96,INE120A01034
CARERATING,CARE Ratings Limited,26-Dec-12,INE752H01013
CARRARO,Carraro India Limited,30-Dec-24,INE0V7W01012
CARTRADE,Cartrade Tech Limited,20-Aug-21,INE290S01011
CARYSIL,CARYSIL LIMITED,14-Jan-21,INE482D01024
CASTROLIND,Castrol India Limited,14-Mar-14,INE172A01027
CCCL,Consolidated Construction Consortium Limited,15-Oct-07,INE429I01024
